"MUS","Mauritius","African","Upper-middle-income"
"MWI","Malawi","African","Low-income"
"MYS","Malaysia","Western Pacific","Upper-middle-income"
"NAM","Namibia","African","Lower-middle-income"
"NER","Niger","African","Low-income"
"NGA","Nigeria","African","Lower-middle-income"
"NIC","Nicaragua","Americas","Lower-middle-income"
"NIU","Niue","Western Pacific",\N
"NLD","Netherlands (Kingdom of the)","European","High-income"
"NOR","Norway","European","High-income"
"NPL","Nepal","South-East Asia","Lower-middle-income"
"NRU","Nauru","Western Pacific","High-income"
"NZL","New Zealand","Western Pacific","High-income"
"OMN","Oman","Eastern Mediterranean","High-income"
"PAK","Pakistan","Eastern Mediterranean","Lower-middle-income"
"PAN","Panama","Americas","High-income"
"PER","Peru","Americas","Upper-middle-income"
"PHL","Philippines","Western Pacific","Lower-middle-income"
"PLW","Palau","Western Pacific","High-income"
"PNG","Papua New Guinea","Western Pacific","Lower-middle-income"
"POL","Poland","European","High-income"
"PRI","Puerto Rico","Americas","High-income"
"PRK","Democratic People's Republic of Korea","South-East Asia","Low-income"
"PRT","Portugal","European","High-income"
"PRY","Paraguay","Americas","Upper-middle-income"
"PSE","occupied Palestinian territory","Eastern Mediterranean","Lower-middle-income"
"QAT","Qatar","Eastern Mediterranean","High-income"
"ROU","Romania","European","High-income"
"RUS","Russian Federation","European","High-income"
"RWA","Rwanda","African","Low-income"
"SAU","Saudi Arabia","Eastern Mediterranean","High-income"
"SDN","Sudan","Eastern Mediterranean","Low-income"
"SEN","Senegal","African","Lower-middle-income"
"SGP","Singapore","Western Pacific","High-income"
"SLB","Solomon Islands","Western Pacific","Lower-middle-income"
"SLE","Sierra Leone","African","Low-income"
"SLV","El Salvador","Americas","Upper-middle-income"
"SMR","San Marino","European","High-income"
"SOM","Somalia","Eastern Mediterranean","Low-income"
"SRB","Serbia","European","Upper-middle-income"
"SSD","South Sudan","African","Low-income"
"STP","Sao Tome and Principe","African","Lower-middle-income"
"SUR","Suriname","Americas","Upper-middle-income"
"SVK","Slovakia","European","High-income"
"SVN","Slovenia","European","High-income"
"SWE","Sweden","European","High-income"
"SWZ","Eswatini","African","Lower-middle-income"
"SYC","Seychelles","African","High-income"
"SYR","Syrian Arab Republic","Eastern Mediterranean","Low-income"
"TCD","Chad","African","Low-income"
"TGO","Togo","African","Low-income"
"THA","Thailand","South-East Asia","Upper-middle-income"
"TJK","Tajikistan","European","Lower-middle-income"
"TKL","Tokelau","Western Pacific",\N
"TKM","Turkmenistan","European","Upper-middle-income"
"TLS","Timor-Leste","South-East Asia","Lower-middle-income"
"TON","Tonga","Western Pacific","Upper-middle-income"
"TTO","Trinidad and Tobago","Americas","High-income"
"TUN","Tunisia","Eastern Mediterranean","Lower-middle-income"
"TUR","Türkiye","European","Upper-middle-income"
"TUV","Tuvalu","Western Pacific","Upper-middle-income"
"TZA","United Republic of Tanzania","African","Lower-middle-income"
"UGA","Uganda","African","Low-income"
"UKR","Ukraine","European","Upper-middle-income"
"URY","Uruguay","Americas","High-income"
"USA","United States of America","Americas","High-income"
"UZB","Uzbekistan","European","Lower-middle-income"
"VCT","Saint Vincent and the Grenadines","Americas","Upper-middle-income"
"VEN","Venezuela (Bolivarian Republic of)","Americas",\N
"VNM","Viet Nam","Western Pacific","Lower-middle-income"
"VUT","Vanuatu","Western Pacific","Lower-middle-income"
"WSM","Samoa","Western Pacific","Upper-middle-income"
"YEM","Yemen","Eastern Mediterranean","Low-income"
"ZAF","South Africa","African","Upper-middle-income"
"ZMB","Zambia","African","Lower-middle-income"
"ZWE","Zimbabwe","African","Lower-middle-income"
